#FORMAT:Barcode|Name|SaleRate
788821001252|Shan Bombay Biryani Double|250.0
788821001269|Shan Nihari Double|270.0
788821001306|Achar Gosht Double|250.0
788821002099|Sindhi Biryani Double|250.0
788821002082|Pilau Biryani Double|250.0
788821001283|Shan Karahi Double|250.0
788821001290|Shan Korma Double|250.0
788821150608|Shan Salan Masala 200gm|390.0
788821150837|Chapli Kabab Single|130.0
788821151421|Shan Chicken Jalfrezi|130.0
788821151452|Shan White Korma|130.0
788821150905|Shan Fish Masala|130.0
788821151261|Chicken Tikka Single|130.0
788821151247|Shan Tandoori Masala|130.0
788821151254|Shan Bihari Kabab|130.0
788821151292|Shan Tikka Boti|130.0
788821150684|Shan Nihari Single|130.0
788821150431|Shan Paya Masala|130.0
788821150363|Achar Gosht Single|130.0
788821150370|Shan Chicken Masala|130.0
788821150790|Shan Karahi Single|130.0
788821150394|Shan Korma Single|130.0
788821151445|Shan White Karahi|130.0
788821151117|Shan Chaat Masala 50gm|100.0
788821150189|Shan Bombay Biryani Single|130.0
788821150134|Punjabi Pilau Single|130.0
788821150141|Pilau Biryani Single|130.0
788821150219|Sindhi Biryani Single|130.0
788821150387|Shan Kofta Masala|130.0
788821150417|Shan Murgh Cholay|130.0
788821150936|Shan Haleem Masala|130.0
788821150820|Shan Keema Masala|140.0
788821151636|Vegetable Masala|130.0
788821151629|Shan Daal Masala|130.0
788821048028|Shan Liver Masala|130.0
788821151278|Seekh Kabab Masala|130.0
633152016744|Dum Ka Qeema|130.0
633152015334|Malai Boti Masala|130.0
620514018768|National Quorma|130.0
620514018737|National Karahi|130.0
620514018645|National Achar Gosht|140.0
620514009766|National Nihari|130.0
620514000862|National Dhaniya 100g|180.0
620514020006|National Chilli 200g|315.0
620514001692|National Garlic Powder|145.0
620514000046|National Ginger Powder|138.0
620514019994|National Chilli 100g|170.0
620514001036|National Chaat Masala 90g|185.0
620514001104|National Garam Masala|315.0
620514000978|National Haldi 50gm|105.0
620514000770|National Kali Mirch|258.0
620514000060|National Kasuri Methi|65.0
620514000985|National Haldi 100gm|150.0
620514009872|National Pulao|130.0
620514020013|National Chilli 400gm|600.0
633152007476|Lahori Chargha|130.0
705632490099|Mehran Paya Masala|130.0
705632490167|Mehran Bihari Kabab|130.0
